2.700000, green, 2.455162, 6.684554, green, 1.609200, 5.822922, greenPlus, 4.594123, 7.441157, green, 6.751921, 5.934851, red, 1.887607, 2.044391, red, 5.401638, 6.696646, red, 0.684570, 3.849495, red, 6.887326, 7.487203
2.800000, green, 2.502595, 6.629520, green, 1.467042, 5.855877, greenPlus, 4.434486, 7.252202, green, 6.802850, 6.183200, red, 2.198150, 2.007197, red, 5.315298, 6.718668, red, 0.781503, 3.853121, red, 6.754179, 7.515459
2.900000, green, 2.380091, 6.745626, green, 1.236792, 5.634644, greenPlus, 4.453974, 7.422096, green, 6.831418, 6.399614, red, 2.064123, 2.072843, red, 5.107438, 6.649862, red, 0.889378, 3.745905, red, 6.732686, 7.421701
3.000000, green, 2.347008, 6.754229, green, 1.292003, 5.502191, greenPlus, 4.324618, 7.431060, greenPlus, 6.806459, 6.362568, red, 2.040424, 2.162025, red, 5.015471, 6.602206, red, 1.083564, 3.819883, red, 6.597648, 7.344596
3.100000, green, 2.248417, 6.910348, green, 1.143569, 5.553048, greenPlus, 4.242117, 7.269829, greenPlus, 6.902036, 6.319298, red, 2.338920, 2.141268, red, 5.069235, 6.533330, red, 1.093004, 3.909458, red, 6.402725, 7.268854
3.200000, green, 2.250667, 7.067200, green, 0.992504, 5.572897, greenPlus, 4.138807, 7.230403, greenPlus, 6.934512, 6.368884, red, 2.375829, 2.173964, red, 5.015203, 6.446668, red, 1.207514, 4.193120, red, 6.498130, 7.303261
3.300000, green, 2.198852, 7.041459, green, 0.858102, 5.764073, greenPlus, 4.040220, 7.318505, greenPlus, 6.981517, 6.645516, red, 2.469661, 2.316916, red, 4.923488, 6.287470, red, 1.310331, 4.325919, red, 6.302408, 7.371774
3.400000, green, 2.131438, 7.166713, green, 0.760909, 5.864732, greenPlus, 3.959484, 7.147660, greenPlus, 6.976610, 6.563582, red, 2.720969, 2.333316, red, 5.066985, 6.206816, red, 1.404487, 4.356576, red, 6.432892, 7.445043
3.500000, green, 1.946031, 7.213931, green, 0.838976, 6.090638, greenPlus, 4.007621, 7.205975, greenPlus, 7.104065, 6.698005, red, 2.870787, 2.600955, red, 4.997219, 6.146338, red, 1.683295, 4.544281, red, 6.407518, 7.387729
3.600000, green, 1.880608, 7.157335, green, 0.935093, 6.179487, greenPlus, 4.098753, 7.124485, greenPlus, 7.234209, 6.633053, red, 2.980912, 2.728180, red, 4.993539, 6.094650, red, 1.649429, 4.550998, red, 6.503957, 7.293948
3.700000, green, 1.821693, 7.245224, green, 0.928065, 6.345060, greenPlus, 4.096232, 7.155018, greenPlus, 7.374471, 6.576590, red, 3.054003, 2.941024, red, 4.866794, 5.728643, red, 1.739278, 4.594672, red, 6.584173, 7.289795
3.800000, green, 1.913856, 7.273836, green, 0.953765, 6.454074, greenPlus, 4.026003, 7.228122, greenPlus, 7.404781, 6.545879, red, 3.031878, 2.947180, red, 4.694711, 5.671398, red, 1.774037, 4.590798, red, 6.799844, 7.394872
3.900000, green, 2.057276, 7.280006, green, 1.175083, 6.611522, greenPlus, 3.997780, 7.183870, greenPlus, 7.522566, 6.589741, red, 3.155579, 3.031303, red, 4.536334, 5.599865, red, 1.803583, 4.665181, red, 6.917381, 7.457461
4.000000, green, 2.131242, 7.419175, green, 1.111951, 6.777750, greenPlus, 3.958986, 7.195892, greenPlus, 7.439011, 6.447154, red, 3.194078, 2.866416, red, 4.504230, 5.451383, red, 1.893065, 4.622824, red, 6.994226, 7.475744
4.100000, green, 2.339990, 7.534380, green, 1.199949, 6.790000, green, 4.130369, 7.141480, greenPlus, 7.365110, 6.398596, red, 3.200821, 2.790124, red, 4.576412, 5.382754, red, 2.030488, 4.453644, red, 7.155907, 7.602790
4.200000, green, 2.433143, 7.504587, green, 1.408217, 6.933498, green, 3.979264, 7.134846, greenPlus, 7.391202, 6.500088, red, 3.230483, 2.595390, red, 4.592650, 5.300795, red, 2.179127, 4.418023, red, 7.327421, 7.582043
4.300000, green, 2.506147, 7.488647, green, 1.446848, 6.969594, green, 3.975509, 7.026384, greenPlus, 7.329607, 6.543525, red, 3.342142, 2.687920, red, 4.502505, 5.119533, red, 2.411606, 4.376635, red, 7.467983, 7.643267
4.400000, green, 2.548482, 7.477387, green, 1.528996, 6.893478, green, 3.819472, 7.079297, greenPlus, 7.283419, 6.630375, red, 3.470930, 2.787451, red, 4.714188, 5.095520, red, 2.513741, 4.515586, red, 7.314710, 7.698502
4.500000, green, 2.667155, 7.556944, green, 1.572880, 6.891887, green, 3.696999, 6.979454, greenPlus, 7.054606, 6.724088, red, 3.769103, 2.552486, red, 4.595638, 5.057702, red, 2.631675, 4.476125, red, 7.329903, 7.865345
4.600000, green, 2.505251, 7.613283, green, 1.584841, 6.995855, green, 3.515325, 6.898324, greenPlus, 6.929733, 6.776531, red, 3.823646, 2.558675, red, 4.604257, 4.971833, red, 2.586649, 4.241083, red, 7.539295, 0.003192
4.700000, green, 2.337430, 7.572049, green, 1.486572, 6.985599, green, 3.596078, 6.852076, greenPlus, 6.833436, 6.781036, red, 3.829895, 2.667908, red, 4.607614, 4.824120, red, 2.543866, 4.059934, red, 7.522492, 0.218588
4.800000, green, 2.316658, 7.527930, green, 1.294732, 6.896924, green, 3.444844, 6.827539, greenPlus, 6.829324, 6.912991, red, 3.844465, 2.844720, red, 4.592827, 4.798273, red, 2.559193, 3.769236, red, 7.484246, 0.409813
4.900000, green, 2.190083, 7.677244, green, 1.301179, 6.695736, green, 3.541383, 6.640006, greenPlus, 6.717288, 7.185497, red, 4.136381, 2.993516, red, 4.567660, 4.543724, red, 2.641229, 3.663171, red, 7.363201, 0.391167
5.000000, green, 2.126606, 7.565135, green, 1.328583, 6.860104, green, 3.458288, 6.483930, green, 6.708873, 7.280818, red, 4.206656, 3.017563, red, 4.562754, 4.463333, red, 2.599053, 3.696313, red, 7.617948, 0.481802
5.100000, green, 2.096259, 7.693391, green, 1.448653, 6.846697, green, 3.513333, 6.215554, green, 6.662791, 7.293788, red, 4.278911, 3.019049, red, 4.565310, 4.381841, red, 2.641555, 3.585028, red, 7.678963, 0.544778
5.200000, green, 2.017803, 7.716749, green, 1.530173, 6.784960, green, 3.515077, 6.273883, green, 6.554001, 7.299846, red, 4.254199, 2.879875, red, 4.512707, 4.126364, red, 2.725168, 3.613832, red, 7.825096, 0.467167
5.300000, green, 1.909574, 7.934320, green, 1.593471, 6.710923, green, 3.513790, 6.294503, green, 6.572835, 7.434067, red, 4.210502, 2.676903, red, 4.694505, 3.987434, red, 2.715730, 3.626360, red, 8.107359, 0.500274
5.400000, green, 1.900253, 0.097032, green, 1.639799, 6.681813, green, 3.451261, 6.521903, green, 6.552179, 7.406934, red, 3.990154, 2.596692, red, 4.769385, 3.912615, red, 2.635039, 3.688152, red, 8.271436, 0.370344
5.500000, green, 1.953309, 0.354449, green, 1.524838, 6.748432, green, 3.397030, 6.779495, green, 6.615354, 7.495902, red, 3.755663, 2.550566, red, 4.747714, 3.635572, red, 2.744499, 3.561508, red, 8.230147, 0.286876
5.600000, green, 2.005348, 0.356918, green, 1.616322, 6.596767, green, 3.357062, 6.965258, green, 6.527696, 7.670599, red, 3.590516, 2.565147, red, 4.740813, 3.852023, red, 2.677361, 3.379243, red, 8.402861, 0.209379
5.700000, green, 2.178102, 0.291499, green, 1.722106, 6.479273, green, 3.473131, 6.952946, green, 6.659326, 7.914159, red, 3.400784, 2.566300, red, 4.906523, 3.727873, red, 2.467649, 3.388776, red, 8.502471, 0.365618
5.800000, green, 2.254840, 0.182741, green, 1.842930, 6.366892, green, 3.474341, 6.898870, green, 6.689960, 7.948485, red, 3.387368, 2.457205, red, 4.883157, 3.588415, red, 2.295812, 3.729821, red, 8.466729, 0.224217
5.900000, green, 2.482075, 0.096143, green, 2.093055, 6.151848, green, 3.449554, 6.873404, green, 6.749083, 0.035677, red, 3.440250, 2.629892, red, 4.991610, 3.701184, red, 2.322194, 3.899708, red, 8.347091, 0.119240
6.000000, green, 2.612363, 0.135554, green, 2.040715, 6.041455, green, 3.337623, 6.990420, green, 6.632329, 0.105198, red, 3.428334, 2.691997, red, 5.162460, 3.615807, red, 2.348469, 4.078723, red, 8.385231, 0.156479
6.100000, green, 2.692266, 7.966832, green, 2.055505, 5.882727, green, 3.394779, 7.037177, green, 6.651244, 0.101635, red, 3.331319, 2.794829, red, 5.128536, 3.622134, red, 2.353267, 4.131480, red, 8.400293, 0.091607
6.200000, green, 2.704743, 7.890949, green, 2.153224, 5.996735, green, 3.334499, 7.093764, green, 6.758120, 0.304934, red, 3.236490, 2.834206, red, 5.456824, 3.547600, red, 2.486658, 4.210790, red, 8.232302, 7.894327
6.300000, green, 2.581590, 7.962756, green, 2.250501, 5.879544, green, 3.384156, 7.169688, green, 6.696606, 0.512959, red, 3.148374, 2.932425, red, 5.401554, 3.535498, red, 2.434092, 4.299418, red, 8.294508, 7.682098
6.400000, green, 2.402561, 0.125596, green, 2.251796, 5.752572, green, 3.417423, 7.271712, green, 6.509359, 0.626310, red, 3.050476, 3.003143, red, 5.336705, 3.320000, red, 2.176565, 4.393788, red, 8.246537, 7.814074
6.500000, green, 2.449706, 0.212616, green, 2.251603, 5.758853, green, 3.410397, 7.287513, green, 6.420756, 0.705369, red, 3.061125, 3.046103, red, 5.195021, 3.105280, red, 2.097485, 4.451277, red, 8.111107, 7.731793
6.600000, green, 2.340804, 0.051260, green, 2.314635, 5.881953, green, 3.164505, 7.163409, green, 6.075963, 0.828745, red, 3.059920, 3.179512, red, 5.129107, 3.242021, red, 1.959626, 4.605656, red, 8.153321, 7.675118
