0.110000, greenPlus, 0.347498, 0.461993, greenPlus, 1.162692, 3.025826, greenPlus, 0.759979, 5.244808, greenPlus, 2.748460, 5.851232, greenPlus, 2.457719, 2.716993, greenPlus, 2.708585, 5.193331, greenPlus, 5.190226, 0.444298, greenPlus, 4.822482, 2.061384, greenPlus, 5.386325, 4.425441, red, 1.302195, 1.166189, red, 0.995828, 4.113433, red, 1.497859, 4.987297, red, 2.904485, 1.638590, red, 3.645899, 4.110101, red, 3.299439, 5.009621, red, 4.996861, 0.877953, red, 4.997332, 3.144649, red, 5.631384, 5.841782
0.120000, greenPlus, 0.251243, 0.486210, greenPlus, 1.332636, 3.062041, greenPlus, 0.846201, 5.230496, greenPlus, 2.538474, 0.086104, greenPlus, 2.250213, 2.860581, greenPlus, 2.637549, 5.249834, greenPlus, 5.315774, 0.437672, greenPlus, 4.913560, 1.797125, greenPlus, 5.443102, 4.445853, red, 1.412823, 1.016347, red, 1.010416, 4.240161, red, 1.605622, 4.863756, red, 2.909696, 1.739054, red, 3.627561, 4.116801, red, 3.275844, 5.074488, red, 5.073442, 0.975448, red, 4.854336, 3.437339, red, 5.779866, 5.948871
0.130000, greenPlus, 0.402809, 0.414903, greenPlus, 1.367030, 3.309917, greenPlus, 0.824864, 5.345353, greenPlus, 2.468770, 0.032241, greenPlus, 2.194157, 2.860455, greenPlus, 2.410445, 5.294726, greenPlus, 5.161955, 0.394194, greenPlus, 4.964701, 1.953691, greenPlus, 5.760658, 4.430584, red, 1.296731, 0.956081, red, 1.354924, 4.121337, red, 1.708913, 4.818398, red, 3.002775, 1.959690, red, 3.627037, 4.135250, red, 3.364192, 4.859757, red, 4.956222, 1.260170, red, 4.885200, 3.362693, red, 5.862026, 0.009216
0.140000, greenPlus, 0.419190, 0.219657, greenPlus, 1.539019, 3.220576, greenPlus, 0.749338, 5.392679, greenPlus, 2.365320, 0.088031, greenPlus, 2.289642, 2.827543, greenPlus, 2.571821, 5.249157, greenPlus, 5.428995, 0.286247, greenPlus, 4.820041, 1.863089, greenPlus, 5.842886, 4.507294, red, 1.284149, 0.798146, red, 1.156338, 4.311885, red, 1.845517, 5.007989, red, 2.922880, 2.092488, red, 3.532270, 4.250397, red, 3.197274, 4.829205, red, 4.805684, 1.288258, red, 4.811290, 3.218770, red, 5.946861, 0.048406
0.150000, greenPlus, 0.346770, 0.359203, greenPlus, 1.524271, 3.246389, greenPlus, 0.938598, 5.421005, greenPlus, 2.493433, 0.237234, greenPlus, 2.341428, 2.803136, greenPlus, 2.416023, 5.379700, greenPlus, 5.271452, 0.183272, greenPlus, 4.765424, 1.852413, greenPlus, 5.699141, 4.754850, red, 1.136751, 0.874531, red, 1.128160, 4.351013, red, 1.615603, 5.059646, red, 2.808490, 2.029164, red, 3.275282, 4.141351, red, 2.967247, 4.676384, red, 4.858451, 1.230679, red, 4.824973, 3.255488, red, 5.870057, 0.140993
0.160000, greenPlus, 0.363969, 0.490865, greenPlus, 1.589634, 3.332524, greenPlus, 0.954415, 5.324694, greenPlus, 2.417927, 0.319271, greenPlus, 2.368917, 2.712902, greenPlus, 2.385991, 5.394199, greenPlus, 5.562393, 0.198385, greenPlus, 4.563240, 1.882087, greenPlus, 5.971524, 4.757417, red, 1.114665, 0.750653, red, 1.132304, 4.270189, red, 1.626808, 5.187056, red, 2.808485, 2.079730, red, 3.348013, 4.284305, red, 2.840318, 4.776024, red, 5.098065, 1.343396, red, 4.730560, 3.245266, red, 5.973063, 0.186032
0.170000, greenPlus, 0.351511, 0.443293, greenPlus, 1.555988, 3.231259, greenPlus, 1.215117, 5.322238, greenPlus, 2.506143, 0.428398, greenPlus, 2.399744, 2.850323, greenPlus, 2.258563, 5.341943, greenPlus, 5.644497, 0.402583, greenPlus, 4.623872, 2.043250, greenPlus, 5.955318, 4.825561, red, 1.007866, 0.928822, red, 1.090288, 4.406802, red, 1.564460, 5.310502, red, 2.821033, 2.232210, red, 3.440716, 4.155676, red, 2.777936, 4.819186, red, 5.360771, 1.399508, red, 4.700958, 3.402258, red, 5.959713, 0.132961
0.180000, greenPlus, 0.651985, 0.557726, greenPlus, 1.715200, 3.102211, greenPlus, 1.189876, 5.273529, greenPlus, 2.612107, 0.469782, greenPlus, 2.387240, 2.855955, greenPlus, 2.366690, 5.217263, greenPlus, 5.736912, 0.381464, greenPlus, 4.768587, 1.960555, greenPlus, 5.928820, 4.679548, red, 1.137355, 0.884262, red, 1.110246, 4.398461, red, 1.399675, 5.707429, red, 3.012511, 2.199247, red, 3.435350, 4.158422, red, 2.755826, 5.019004, red, 5.383683, 1.170686, red, 4.593928, 3.501978, red, 5.857790, 0.215843
0.190000, greenPlus, 0.638581, 0.149459, greenPlus, 1.530779, 3.226881, greenPlus, 1.052925, 5.301779, greenPlus, 2.671706, 0.451158, greenPlus, 2.226272, 2.819572, greenPlus, 2.283721, 5.139159, greenPlus, 5.917327, 0.207220, greenPlus, 5.048301, 2.036362, greenPlus, 5.857547, 4.862453, red, 0.914244, 0.694055, red, 0.832383, 4.377957, red, 1.324809, 5.800934, red, 2.918295, 2.298375, red, 3.139209, 4.273283, red, 2.599789, 5.047924, red, 5.609617, 1.000352, red, 4.567905, 3.643537, red, 5.848314, 0.253832
0.200000, greenPlus, 0.725248, 0.319180, greenPlus, 1.473525, 3.180357, greenPlus, 1.060243, 5.150846, greenPlus, 2.598663, 0.483480, greenPlus, 2.163549, 2.951220, greenPlus, 2.066681, 5.166889, greenPlus, 5.771059, 5.958667, greenPlus, 5.303114, 2.334464, greenPlus, 5.730802, 5.048264, red, 0.765172, 0.689398, red, 0.725877, 4.452827, red, 1.393955, 5.813400, red, 2.752737, 2.313686, red, 2.916101, 4.278576, red, 2.512550, 4.881121, red, 5.808114, 1.133749, red, 4.365491, 3.748518, red, 5.855117, 0.169735
0.210000, greenPlus, 0.900471, 0.198672, greenPlus, 1.238805, 3.222247, greenPlus, 0.839853, 5.368813, greenPlus, 2.242518, 0.445103, greenPlus, 2.046087, 2.844213, greenPlus, 1.985486, 5.298500, greenPlus, 5.859325, 0.043222, greenPlus, 5.157093, 2.221636, greenPlus, 5.701473, 5.081698, red, 0.727643, 0.949546, red, 0.619277, 4.761309, red, 1.552629, 5.999939, red, 2.541049, 2.169143, red, 2.992857, 4.336343, red, 2.554930, 4.979957, red, 5.678467, 1.260888, red, 4.450873, 3.750836, red, 5.899334, 0.075011
0.220000, greenPlus, 0.908799, 0.376850, greenPlus, 1.380744, 3.335203, greenPlus, 0.550091, 5.329777, greenPlus, 1.954548, 0.642949, greenPlus, 1.903759, 3.112147, greenPlus, 2.072229, 5.570135, greenPlus, 5.740769, 5.873510, greenPlus, 5.184498, 2.138094, greenPlus, 5.553834, 5.079086, red, 0.791242, 0.981701, red, 0.684208, 4.799018, red, 1.368433, 0.033409, red, 2.739669, 1.993229, red, 2.966781, 4.531993, red, 2.600866, 4.967484, red, 5.583002, 1.174400, red, 4.508255, 3.762569, red, 5.763777, 0.349370
0.230000, greenPlus, 0.852849, 0.431409, greenPlus, 1.584818, 3.229646, greenPlus, 0.512993, 5.351174, greenPlus, 1.812847, 0.329529, greenPlus, 2.064676, 3.339458, greenPlus, 2.129758, 5.818427, greenPlus, 0.067519, 0.005894, greenPlus, 5.100248, 2.110780, greenPlus, 5.513293, 4.990279, red, 0.734276, 1.272751, red, 1.107221, 4.967376, red, 1.497317, 5.818125, red, 2.624503, 1.954926, red, 3.026100, 4.481507, red, 2.695177, 4.951663, red, 5.799370, 1.045775, red, 4.434997, 4.187716, red, 5.915908, 0.312631
0.240000, greenPlus, 0.560972, 0.243942, greenPlus, 1.688967, 3.154564, greenPlus, 0.513919, 5.363385, greenPlus, 1.633724, 0.229922, greenPlus, 2.000821, 3.470762, greenPlus, 2.238543, 5.694606, greenPlus, 0.175434, 5.840417, greenPlus, 5.246355, 2.123308, greenPlus, 5.434582, 4.814021, red, 1.091475, 1.042352, red, 1.239123, 5.076072, red, 1.460683, 5.919976, red, 2.653884, 2.209879, red, 2.747001, 4.541872, red, 2.485992, 4.965204, red, 5.663344, 1.276633, red, 4.286148, 4.146096, red, 5.898029, 0.289959
